bin_end,token_amount,recorded_notional_usd,record_count,low,high,price,observed,thin_bin,market_id,displacement_pp,rv_pp,jump_z,rv_z,baseline_ready,jump_alert,volatility_alert,alert,score
2024-12-21 19:35:00+00:00,371.0,17.61,41,0.047,0.048,0.04746361185983828,True,False,507300,0.0017701569600812872,0.012598603203200012,-0.008406588734703735,-0.003950591031354957,True,False,False,False,-0.003950591031354957
2024-12-21 19:40:00+00:00,455.0,21.580000000000002,49,0.047,0.048,0.047472527472527476,True,False,507300,-0.007963537734529541,0.006828149081367496,0.004089619311598014,-0.01520365128695701,True,False,False,False,0.004089619311598014
2024-12-21 19:45:00+00:00,362.0,17.2,41,0.047,0.048,0.04751933701657459,True,False,507300,0.002964629492509946,0.005432060931995147,-0.005798750675035935,-0.017707979597638732,True,False,False,False,-0.005798750675035935
2024-12-21 19:50:00+00:00,429.0,20.39,51,0.047,0.048,0.04752680652680653,True,False,507300,0.006319466696824705,0.004823292595963395,0.00091641976492432,-0.018810359796974246,True,False,False,False,0.00091641976492432
2024-12-21 19:55:00+00:00,389.0,18.43,44,0.047,0.048,0.047434447300771204,True,False,507300,-0.0038080171756271763,0.010381307061660195,-0.004111975308801474,-0.007579174392852654,True,False,False,False,-0.004111975308801474
2024-12-21 20:00:00+00:00,373.1,17.73,33,0.047,0.048,0.04752010184937014,True,False,507300,7.648327955481204e-05,0.012618526820764801,-0.011569547069615466,-0.0029613900332446062,True,False,False,False,-0.0029613900332446062
2024-12-21 20:05:00+00:00,459.0,21.82,45,0.047,0.048,0.04752941176470589,True,False,507300,0.0002605237899362678,0.012630757242972374,-0.011206962080183291,-0.002793584347430624,True,False,False,False,-0.002793584347430624
2024-12-21 20:10:00+00:00,168.0,8.0,15,0.047,0.048,0.0475952380952381,True,False,507300,0.016079079446689598,0.010842731210623065,0.020435645264654106,-0.006283547676637701,True,False,False,False,0.020435645264654106
2024-12-21 20:15:00+00:00,296.0,14.04,29,0.047,0.048,0.04748310810810811,True,False,507300,-0.0036993741262029978,0.013035687296290411,-0.004318269344988357,-0.0018115467698114687,True,False,False,False,-0.0018115467698114687
2024-12-21 20:20:00+00:00,293.0,13.9,29,0.047,0.048,0.04746075085324232,True,False,507300,-0.006866091146356945,0.01319321289536469,0.002015164695319538,-0.001496495571662912,True,False,False,False,0.002015164695319538
